STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-1492,,371,0.06,12.26,12.804,12.158,4.62,0.77,,0.72,4712
HD 28185,0.75,42.337,0.22,6.288,6.578,6.184,4.45,0.99,,1.00685,5656
HIP 97233,1,106.496,0.29,5.227,5.671,5.09,3.26,1.93,,5.34,5020
Kepler-1461,,752,-0.04,13.706,14.137,13.471,4.6,0.79,,0.74,4919
Kepler-846,,1233,0,14.086,14.423,13.978,4.5,0.94,,0.91,5579
HD 23127,0.69,98.7167,0.34,7.182,7.423,7.087,4.155,1.127,,1.51172,5752
HD 154672,0.71,64.7668,0.26,6.699,7.013,6.612,4.25,1.06,,1.31501,5714
Kepler-275,,,,14.03,14.28,13.96,4.229,,,1.383,6165
Kepler-52,,,,12.51,13.153,12.36,4.74,0.54,,0.52,4075
Kepler-1561,,993,0.04,13.116,13.453,13.053,4.38,1.07,,1.11,5957
OGLE-TR-10,,,0.15,,,,4.358,1.14,0.735714,1.17,5950
Kepler-370,,,,13.65,13.977,13.55,4.531,,,0.9,5852
Kepler-601,,429,-0.02,12.155,12.647,12.129,4.57,0.85,,0.79,5160
gamma Leo A,1.08,39.8883,-0.41,-0.85,-0.18,-0.81,1.97,1.57,,27.4346,4428
Kepler-1179,,454,-0.03,12.246,12.699,12.189,4.56,0.84,,0.81,5212
Kepler-930,,905,0.04,12.345,12.641,12.258,4.24,1.25,,1.4,6335
Kepler-1073,,837,0,12.957,13.332,12.924,4.44,1,,1,5792
HAT-P-2,0.41,114.416,0.14,7.652,7.796,7.603,4.16,1.308,0.429,1.506,6290
HAT-P-24,0.45,396,-0.16,10.589,10.797,10.543,4.27,1.191,,1.317,6373
HD 11506,0.607,51.7063,0.31,6.779,7.047,6.707,4.32,1.19,,1.26275,6058
Kepler-758,,1353,-0.1,13.146,13.37,13.11,4.19,1.16,,1.42,6228
tau Boo,0.508,15.6177,0.233627,3.545,3.616,3.36,4.25577,1.341,,1.41847,6387.49
Kepler-422,,,,12.126,12.357,12.041,4.31,1.15,0.86,1.24,
Kepler-124,,,,12.314,12.78,12.233,4.669,,,0.636,4984
Kepler-1081,,425,0.01,11.989,12.388,11.907,4.54,0.88,,0.84,5345
Kepler-1539,,788,-0.01,13.5,13.931,13.382,4.57,0.84,,0.8,5176
Kepler-1458,,642,0.02,12.57,12.936,12.509,4.48,0.96,,0.94,5653
Kepler-184,,,,12.752,13.1,12.69,4.51,,,0.873,5788
XO-2S,0.841,,0.39,9.371,9.742,9.272,4.43,0.982,,1.02,5399
HD 34445,0.62,46.4684,0.14,5.847,6.121,5.79,4.21,1.069,,1.39357,5836
OGLE-2007-BLG-368L,,5900,,,,,,0.64,,,
KELT-7,0.43,129,0.139,7.58,7.739,7.543,4.149,1.535,0.419,1.732,6789
Kepler-1321,,547,-0.45,14.224,14.832,13.884,4.73,0.54,,0.53,4094
Kepler-1311,,705,0.09,11.859,12.169,11.825,4.16,1.05,,1.4,5748
Kepler-1260,,1041,0.01,13.28,13.603,13.183,4.39,1.06,,1.08,5961
HD 125612,0.628,54.2005,0.24,,,,4.45,1.1,,1.0426,5897
42 Dra,1.187,96.5251,-0.46,2.197,2.948,2.084,1.71,0.92,,22.04,4200
Kepler-808,,321,0.05,12.011,12.555,11.879,4.62,0.76,,0.71,4653
Kepler-216,,,,12.695,12.956,12.621,4.28,,,1.26,6091
Kepler-292,,,,14.08,14.537,13.97,4.536,,,0.826,5299
HD 153950,0.565,49.5295,-0.01,6.078,6.312,6.006,4.37,1.12,,1.15135,6076
Kepler-69,,,-0.29,12.284,12.631,12.234,4.4,0.81,1.37,0.93,5638
Kepler-27,,,0.41,14.03,14.48,14.12,5.4,0.65,,0.59,5400
Kepler-1434,,680,0.19,10.865,11.067,10.819,3.98,1.47,,2.04,6291
HD 16141,0.67,38.956,0.170315,5.346,5.679,5.266,4.21679,1.052,,2.05,5793.95
WASP-97,0.740001,,0.23,9.07,9.407,9.03,4.45,1.12,0.93,1.06,5640
Kepler-7,,,0.11,11.601,11.833,11.535,3.98,1.347,0.304,1.843,5933
HIP 91258,0.01,44.9,0.23,6.996,7.31,6.893,4.53,0.95,,1,5519
Kepler-486,,428,-0.04,12.377,12.895,12.288,4.6,0.79,,0.75,4926
WASP-24,0.78,,,10.219,10.457,10.148,4.263,1.184,0.502,1.331,6075
HAT-P-29,0.47,322,0.21,10.395,10.648,10.297,4.34,1.207,,1.224,6087
Kepler-38,,,-0.11,12.412,12.73,12.342,,0.949,0.1749,1.757,5623
Kepler-546,,896,0.14,12.782,13.073,12.784,4.36,1.11,,1.15,5967
HD 204313,0.695,47.4834,0.18,6.539,6.812,6.459,4.45,1.02,,,5767
PSR B1257+12,,,,,,,,,,,
Kepler-147,,,,12.475,12.786,12.416,4.182,,,1.468,6012
HD 50554,0.582,29.9133,-0.0658389,5.516,5.775,5.466,4.28538,1.025,,1.25271,5928.79
HD 11964,0.817,32.8515,0.14,4.636,5.022,4.49,3.99,1.08,,1.76025,5372
Kepler-1044,,1507,0.04,13.967,14.268,13.903,4.38,1.08,,1.11,5985
Kepler-344,,,,13.71,14.082,13.66,4.451,,,0.976,5774
HD 13189,1.48,1851.85,-0.39,,,,1.83,1.17,,32.3233,4337
HD 60532,0.52,25.2972,-0.26,3.318,3.702,3.354,3.83,1.44,,2.35065,6095
Kepler-570,,642,0.06,12.719,13.07,12.605,4.5,0.93,,0.9,5496
Kepler-1151,,763,-0.11,13.207,13.61,13.126,4.53,0.88,,0.85,5470
HAT-P-11,1.025,37.4672,0.31,7.131,7.607,7.009,4.59,0.81,2.5127,0.75,4780
Kepler-406,,,0.18,11.035,11.34,10.97,4.409,1.07,1.12,1.07,5538
Kepler-171,,,,13.23,13.586,13.21,4.566,,,0.839,5642
Kepler-627,,1143,0.05,12.657,12.916,12.608,4.21,1.3,,1.49,6424
Kepler-330,,,,13.315,13.86,13.26,4.636,,,0.722,5117
HD 104067,0.976,21.0659,-0.06,5.754,6.212,5.614,4.47,0.791,,0.858425,4969
Kepler-1452,,974,0.14,11.663,11.983,11.635,3.95,1.41,,2.06,6101
Kepler-229,,,,13.87,14.36,13.79,4.633,,,0.728,5120
Kepler-638,,426,0.04,11.765,12.181,11.683,4.43,0.88,,0.93,5382
Kepler-144,0.49,,,10.83,11.05,10.792,4.289,,,1.235,6075
Kepler-1372,,1161,0.05,13.792,14.113,13.718,4.46,0.98,,0.97,5677
HD 20794,0.711,6.04339,-0.4,2.709,3.032,2.636,4.22,0.7,,1.22683,5401
Kepler-94,,,0.34,10.681,11.181,10.594,4.59,0.81,2.9,0.76,4781
Kepler-115,,,,12.028,12.315,11.97,4.306,,,1.205,5979
Kepler-320,,,,12.283,12.546,12.31,4.419,,,1.108,6435
Kepler-1478,,1405,0.03,13.975,14.28,13.873,4.41,1.04,,1.06,5904
HD 195019,0.662,38.5208,0.0679703,5.325,5.604,5.256,4.22537,1.025,,1.34728,5788.16
Kepler-274,,,,13.458,13.773,13.46,4.44,,,1.007,6023
Kepler-1627,,311,-0.1,11.298,11.69,11.194,4.54,0.87,,0.84,5445
GJ 832,1.52,4.95368,-0.4,4.766,5.349,4.501,,0.45,,,
Kepler-889,,513,0.19,11.384,11.64,11.327,4.3,1.14,,1.25,5961
GJ 667 C,1.57,7.23589,-0.55,6.322,6.848,6.036,,0.33,,,3350
Kepler-592,,1034,-0.03,13.3,13.626,13.219,4.42,1.04,,1.04,5913
CoRoT-19,0.56,770.001,-0.02,11.961,12.324,11.837,4.07,1.21,0.38,1.65,6090
Kepler-604,,981,-0.02,13.201,13.553,13.19,4.42,1.02,,1.03,5890
Kepler-557,,1126,0.02,13.244,13.553,13.153,4.35,1.11,,1.16,6068
Kepler-1237,,1121,0.12,13.97,14.326,13.851,4.5,0.94,,0.9,5472
Kepler-142,,,,11.801,12.092,11.762,4.262,,,1.269,5790
alpha Ari,1.16,20.1776,-0.16,-0.749,-0.196,-0.783,2.49,1.33,,13.7883,4513
Kepler-1450,,490,-0.02,13.059,13.681,12.908,4.63,0.71,,0.68,4524
Kepler-148,,0,0.143,13.527,13.903,13.359,4.55,0,,0.85,5272
Kepler-1148,,682,-0.02,13.301,13.8,13.201,4.58,0.81,,0.77,5054
Kepler-240,,,,13.606,14.113,13.46,4.626,,,0.739,4985
Kepler-545,,831,0.03,12.776,13.074,12.708,4.39,1.04,,1.07,5882
61 Vir,0.709,8.55505,0.05,2.974,3.334,2.956,4.45,0.942,,0.978547,5571
Kepler-298,,,,13.139,13.718,13.07,4.709,,,0.582,4465
HD 210702,0.951,54.9451,0.04,3.995,4.508,3.983,3.36,1.71,,5.17,5000
Kepler-1299,,1352,-0.01,14.284,14.644,14.191,4.5,0.94,,0.91,5609
Kepler-1564,,872,0.03,13.361,13.711,13.283,4.5,0.93,,0.9,5528
HAT-P-4,0.7,313.48,0.24,,,,4.36,1.248,0.3097,1.596,5860
Kepler-1414,,534,-0.02,12.869,13.361,12.734,4.59,0.8,,0.75,4951
Kepler-485,,1173,0.04,13.479,13.782,13.433,4.39,1.07,,1.09,5958
HAT-P-21,1.1,254,0.01,10.154,10.503,10.111,4.33,0.947,,1.105,5588
Kepler-398,,0,-0.046,10.932,11.514,10.794,4.69,0,,0.61,4493
Kepler-1180,,1284,0,13.548,13.887,13.521,4.36,1.09,,1.14,6077
Kepler-1388,,492,0.02,13.516,14.222,13.343,4.67,0.63,,0.61,4098
Kepler-215,,,,12.065,12.417,11.996,4.364,,,1.027,5739
Kepler-579,,663,0.13,12.624,12.993,12.548,4.47,0.99,,0.96,5636
Kepler-232,,,,13.799,14.179,13.77,4.495,,,0.968,5847
Kepler-1009,,281,-0.12,12.518,13.192,12.347,4.7,0.59,,0.57,4027
Kepler-346,,,,13.611,13.968,13.58,4.464,,,1.021,6033
Kepler-1233,,1281,0.02,13.316,13.594,13.258,4.3,1.16,,1.25,6198
Kepler-1416,,807,0.03,12.585,12.942,12.537,4.35,1.09,,1.15,6019
alpha Cen B,0.88,1.25483,0.3,-0.49,-0.01,-0.6,,0.934,,0.91,5214
Kepler-1183,,1378,0.04,14.149,14.493,14.006,4.45,1,,0.99,5765
mu Ara,0.694,15.5111,0.292921,3.724,4.158,3.682,4.29848,1.147,,1.25035,5784.28
TYC 1422-614-1,0.95,759,-0.2,7.85,8.347,7.728,2.85,1.15,,6.85,4806
Kepler-1109,,797,0.04,12.718,13.055,12.707,4.41,1.05,,1.06,5893
Kepler-830,,1122,-0.02,13.34,13.662,13.269,4.38,1.07,,1.11,6037
WASP-45,1.33,,,10.365,10.753,10.294,4.445,0.909,1.512,0.945,5140
Kepler-916,,769,-0.05,13.387,13.838,13.305,4.56,0.85,,0.81,5248
Kepler-725,,778,-0.01,13.283,13.685,13.222,4.54,0.88,,0.84,5363
Kepler-428,1.179,720,0.09,13.29,13.76,13.23,4.571,0.87,1.704,0.8,5150
Kepler-1171,0.200001,615,-0.01,10.587,10.753,10.547,4.05,1.58,,1.95,7044
Kepler-1093,,848,-0.01,12.491,12.807,12.484,4.33,1.13,,1.2,6166
HD 73526,0.737,100.705,0.249696,7.47,7.708,7.302,4.15912,1.014,,1.45542,5583.74
HD 108341,0.93,49.4,0.04,7.458,7.863,7.326,4.45,0.843,,0.79,5122
Kepler-1330,,939,0.08,13.423,13.757,13.302,4.48,0.97,,0.94,5608
Kepler-382,,,,12.953,13.403,12.89,4.401,,,0.945,5600
Kepler-667,,907,0.15,13.596,13.948,13.519,4.53,0.91,,0.87,5327
Kepler-495,,630,-0.07,12.859,13.314,12.81,4.55,0.86,,0.83,5346
Kepler-333,,,,12.227,12.86,12.118,4.732,,,0.534,4259
Kepler-17,0.82,800,0.26,12.67,12.99,12.58,4.53,1.16,1.415,1.05,5781
14 Her,0.877,17.5716,0.459932,4.802,5.158,4.714,4.51733,1.066,,0.912364,5387.61
HAT-P-33,0.63,387,0.05,10.061,10.263,10.004,4.15,1.375,,1.637,6446
Kepler-692,,1000,-0.01,13.776,14.204,13.702,4.53,0.9,,0.86,5440
Kepler-1223,,455,0.04,12.561,13.055,12.429,4.6,0.8,,0.75,4870
Kepler-1232,,740,0.06,13.087,13.451,12.965,4.51,0.92,,0.89,5471
Kepler-805,,657,-0.06,11.294,11.547,11.2,4.08,1.19,,1.65,6112
Kepler-166,,,,12.941,13.346,12.88,4.619,,,0.742,5413
Kepler-1398,,793,0.01,12.389,12.695,12.355,4.34,1.13,,1.18,6126
Kepler-1629,,390,0.05,11.302,11.595,11.218,4.44,1.01,,1.01,5776
Kepler-835,,2011,0.08,14.586,14.858,14.561,4.38,1.08,,1.11,5954
Kepler-992,,268,-0.04,11.381,11.899,11.274,4.6,0.8,,0.74,4944
Kepler-1420,,923,-0.1,13.939,14.396,13.76,4.57,0.82,,0.79,5187
OGLE-05-169L,,2700,,,,,,0.49,,,
HIP 79431,1.486,14.3968,0.4,6.855,7.555,6.589,,0.49,,,3191
Kepler-562,,822,-0.04,13.215,13.576,13.12,4.5,0.93,,0.9,5575
Kepler-1476,,1218,0.06,13.896,14.227,13.828,4.47,0.98,,0.96,5663
Kepler-870,,1231,-0.01,13.707,14.072,13.738,4.43,1.01,,1.02,5857
Kepler-1155,,987,0.04,13.254,13.587,13.184,4.43,1.03,,1.03,5842
HD 171238,0.74,50.2765,0.17,6.868,7.244,6.831,4.39,0.943,,1.05059,5467
Kepler-1292,,1406,0.08,14.392,14.679,14.19,4.49,0.95,,0.93,5556
Kepler-1410,,367,0.01,12.906,13.586,12.767,4.67,0.63,,0.6,4092
Kepler-272,,,,12.83,13.159,12.708,4.426,,,0.929,5297
Kepler-157,,,,12.627,12.94,12.57,4.389,,,1.044,5774
HIP 5158,1.08,41.1862,0.1,7.775,8.28,7.669,4.37,0.78,,0.986271,4962
Kepler-661,,558,-0.05,13.37,14.001,13.231,4.64,0.7,,0.67,4483
Kepler-308,,,,14.15,14.61,14.19,4.508,,,0.941,5895
WASP-46,0.1,,-0.37,11.465,11.753,11.401,4.493,0.956,1.736,0.917,5620
Kepler-800,,1049,-0.09,14.042,14.446,13.916,4.55,0.85,,0.82,5315
Kepler-1268,,1406,0.05,13.909,14.153,13.764,4.38,1.06,,1.09,5904
Kepler-1034,,706,-0.06,13.252,13.719,13.158,4.57,0.83,,0.8,5198
Kepler-475,,280,0.21,11.331,11.821,11.241,4.58,0.86,,0.79,5009
Kepler-1541,,414,-0.04,12.029,12.451,11.927,4.56,0.86,,0.81,5282
GJ 849,1.52,9.09587,0.16,5.899,6.509,5.594,,0.49,,,
Kepler-587,,852,-0.05,13.302,13.689,13.25,4.51,0.92,,0.89,5549
WASP-84,0.81,125,0,8.956,9.346,8.855,4.4,0.842,2.015,0.748,5300
Kepler-1190,,384,-0.02,12.295,12.862,12.212,4.62,0.76,,0.72,4730
Kepler-599,,627,-0.02,13.031,13.51,12.972,4.57,0.83,,0.79,5127
Kepler-163,,,,12.85,13.194,12.784,4.524,,,0.917,5776
Kepler-121,,,,12.886,13.32,12.796,4.646,,,0.701,5311
Kepler-123,,,,12.725,12.982,12.655,4.277,,,1.264,6089
Kepler-1123,,796,0.05,13.154,13.528,13.105,4.5,0.93,,0.9,5500
HAT-P-1,0.6,155.279,0.13,8.923,9.156,8.858,4.382,1.133,0.7779,1.135,5975
Kepler-1025,,716,-0.03,12.265,12.572,12.217,4.37,1.09,,1.13,6089
Kepler-201,,,,11.784,12.037,11.737,4.294,,,1.229,6065
OGLE2-TR-L9,,,0,13.25,13.51,13.117,4.25,1.52,0.426,1.53,6933
Kepler-54,,,,12.897,13.508,12.648,4.75,0.51,,0.5,3705
Kepler-973,,297,-0.06,11.43,11.845,11.303,4.58,0.86,,0.78,5213
Kepler-355,,,,13.592,14.007,13.673,4.441,,,1.066,6184
Kepler-1472,,1269,0.03,13.308,13.579,13.255,4.31,1.16,,1.25,6159
Kepler-1135,,728,0.02,12.827,13.161,12.75,4.47,0.96,,0.94,5656
Kepler-375,,,,14.09,14.54,14.08,4.567,,,0.837,5826
Kepler-1209,,558,0.12,11.274,11.499,11.239,4.24,1.23,,1.38,6210
Kepler-1019,,198,0.01,11.166,11.767,11.003,4.64,0.7,,0.67,4433
Kepler-484,,377,-0.1,11.575,11.89,11.482,4.54,0.96,,0.87,5668
Kepler-137,,,,11.229,11.65,11.165,4.553,,,0.802,5187
Kepler-85,,,,13.192,13.552,13.083,4.494,,,0.893,5436
Kepler-1456,,379,-0.09,12.862,13.486,12.681,4.67,0.64,,0.62,4231
GJ 3341,1.5,,-0.09,7.99,8.592,7.733,,0.47,,0.439,3526
Kepler-1290,,1321,-0.02,14.116,14.505,14.112,4.49,0.95,,0.93,5660
Kepler-962,,439,0.01,11.962,12.331,11.904,4.54,0.93,,0.86,5478
WASP-22,0.39,303.03,-0.05,10.392,10.634,10.318,4.5,1.1,0.76,1.13,6000
Kepler-468,,474,0.1,12.115,12.467,12.029,4.54,0.96,,0.87,5498
Kepler-640,,538,0.15,12.18,12.507,12.113,4.5,1.01,,0.94,5653
Kepler-503,,888,0.09,13.138,13.461,13.045,4.44,1.01,,1.01,5754
WASP-2,1.02,165.837,0.1,9.752,10.166,9.632,4.537,0.88,1.464,0.84,5200
Kepler-392,,,,12.151,12.414,12.121,4.323,,,1.129,5938
Kepler-247,,,,13.178,13.597,13.051,4.608,,,0.768,5100
Kepler-1076,,199,-0.01,10.791,11.305,10.664,4.6,0.79,,0.74,4868
HD 164922,0.799,22.119,0.170081,5.203,5.552,5.113,4.50576,0.927,,0.899472,5385.36
Kepler-271,,,,11.819,12.198,11.745,4.493,,,0.88,5524
Kepler-190,,,,12.279,12.728,12.231,4.561,,,0.795,5106
tau Gru,0.621,32.6158,0.24386,4.687,5.008,4.612,4.15445,1.238,,1.54911,5999.24
WASP-34,0.77,120,-0.02,8.842,9.172,8.792,4.5,1.01,,0.93,5700
Kepler-397,,,,14.123,14.587,13.9,4.572,,,0.767,5307
HD 96063,0.86,158,-0.2,6.151,6.607,6.05,3.44,1.41,,3.66196,5131
Kepler-490,,1249,-0.02,13.502,13.819,13.469,4.37,1.08,,1.12,6045
Kepler-1466,,686,-0.07,12.469,12.815,12.408,4.43,1.01,,1.02,5884
Kepler-630,,657,0.03,12.376,12.686,12.293,4.42,1.02,,1.04,5829
Kepler-423,,,0.26,12.847,13.142,12.78,4.48,1.07,1.65,0.99,5790
HAT-P-22,0.86,82.0001,0.24,7.935,8.293,7.837,4.36,0.916,,1.04,5302
51 Eri,0.262,29.4291,,4.77,4.744,4.537,,1.75,,,
Kepler-1374,,1135,-0.13,14.196,14.649,14.129,4.56,0.85,,0.81,5323
Kepler-1041,,979,0.01,13.096,13.405,13.034,4.4,1.06,,1.08,5957
WASP-28,0.47,410,-0.29,10.76,11.08,10.73,4.37,1.021,0.784,1.094,6150
CoRoT-7,0.856,149.925,0.05,9.88,10.31,9.806,4.5,0.93,,0.87,5275
Kepler-1418,,499,0,12.847,13.407,12.755,4.61,0.77,,0.72,4770
HD 5608,0.991,56.3698,0.12,3.88,4.478,3.826,3.25,1.66,,5.5,4911
Kepler-584,,1445,0.02,13.568,13.845,13.529,4.31,1.17,,1.24,6195
Kepler-733,,980,0.01,13.726,14.141,13.648,4.53,0.9,,0.86,5418
Kepler-1200,,579,0.04,13.379,13.96,13.202,4.63,0.74,,0.7,4612
Kepler-178,,,,12.967,13.28,12.899,4.334,,,1.066,5676
Kepler-1207,,946,0.05,13.071,13.365,13.017,4.41,1.06,,1.06,5909
Kepler-1096,,344,-0.1,12.561,13.175,12.384,4.66,0.66,,0.63,4306
Kepler-1491,,1312,0.06,13.995,14.323,13.949,4.45,1,,0.99,5728
HATS-1,0.686999,303,-0.06,10.634,10.924,10.58,4.4,0.986,,1.038,5870
Kepler-1559,,580,-0.04,12.731,13.155,12.634,4.55,0.86,,0.82,5316
Kepler-378,,,,10.317,10.846,10.201,4.647,,,0.671,4661
HD 80606,0.765,58.4795,0.342509,7.4,7.701,7.315,4.43883,0.958,,0.98,5572.51
Kepler-471,,1373,0.07,12.583,12.804,12.562,4.1,1.49,,1.8,6733
Kepler-1511,,897,0.14,12.544,12.713,12.471,4.28,1.17,,1.29,6064
Kepler-45,,333,0.13,13.077,13.749,12.89,4.7,0.59,5.632,0.55,3820
Kepler-68,0.65,135,0.12,8.7,9,8.6,4.281,1.079,0.7903,1.243,5793
Kepler-1195,,812,-0.25,13.949,14.442,13.712,4.61,0.74,,0.71,4965
Kepler-665,,651,-0.03,13.323,13.855,13.214,4.6,0.79,,0.74,4913
Kepler-950,,1489,0.02,14.165,14.509,14.139,4.44,1.02,,1.02,5857
WASP-78,0.69,550,-0.35,11.084,11.286,11.008,4.1,1.33,0.164,2.2,6100
Kepler-108,,,,11.065,11.43,10.983,3.895,,,2.192,5854
HD 86264,0.46,68.7758,0.256,6.344,6.504,6.224,4.21,1.4,,1.49917,6326
Kepler-942,,218,0.09,10.937,11.472,10.842,4.59,0.81,,0.75,4861
Kepler-266,,,,13.907,14.3,13.811,4.453,,,1.028,5885
Kepler-1094,,1371,0.06,13.538,13.843,13.542,4.33,1.14,,1.21,6112
Kepler-1194,,616,0,12.543,12.901,12.445,4.49,0.94,,0.92,5590
8 UMi,0.985,160,-0.03,4.749,5.069,4.515,2.57,1.8,,9.9,4847.4
Kepler-1291,,982,-0.04,13.966,14.412,13.893,4.56,0.84,,0.8,5216
Kepler-524,,730,0.02,12.46,12.729,12.384,4.39,1.09,,1.1,6014
HD 82943,0.623,27.4725,0.265406,5.245,5.509,5.105,4.42123,1.133,,1.09738,5997.1
Kepler-205,,,,10.962,11.608,10.833,4.735,,,0.546,4321
Kepler-319,,,,12.315,12.631,12.208,4.487,,,0.903,5526
Kepler-126,0.42,,,9.407,9.616,9.344,4.247,,,1.358,6239
HD 216536,1.19,,-0.17,6.636,7.172,6.496,2.36,1.36,,12.5,4639
Kepler-728,,1236,-0.03,13.994,14.384,13.937,4.49,0.95,,0.93,5660
Kepler-384,,,,12.082,12.419,12.038,4.475,,,0.882,5577
Kepler-669,,1778,0.14,14.083,14.38,14.198,4.34,1.15,,1.2,6038
Kepler-1046,,518,0,11.829,12.123,11.73,4.42,1.04,,1.04,5913
iota Hor,0.561,17.1674,0.111272,4.323,4.75,4.137,4.34194,1.145,,1.21047,6097.36
Kepler-716,,675,0,13.249,13.67,13.135,4.58,0.83,,0.78,5099
HD 37124,0.667,33.67,-0.441617,6.02,6.358,5.951,4.59917,0.85,,0.772275,5500.24
Kepler-853,,610,0.07,11.171,11.406,11.151,4.17,1.3,,1.55,6350
Kepler-690,,1653,0.19,14.113,14.412,14.106,4.35,1.11,,1.16,5913
Kepler-1500,,904,-0.05,13.149,13.476,13.03,4.44,1,,1,5845
Kepler-1316,,753,0.03,12.488,12.807,12.442,4.36,1.04,,1.12,5884
Kepler-921,,847,-0.12,13.184,13.597,13.188,4.5,0.93,,0.91,5663
HD 192263,0.938,19.3162,0.0543197,5.684,6.115,5.536,4.60419,0.804,,0.7401,4975.16
Kepler-1079,,481,0.21,11.151,11.422,11.056,4.21,1.08,,1.36,5758
Kepler-771,,1000,0.01,13.244,13.585,13.202,4.42,1.03,,1.05,5906
Kepler-212,,,,11.699,11.931,11.62,4.182,,,1.455,5852
Kepler-707,,626,-0.12,13.106,13.604,13.004,4.58,0.8,,0.76,5099
Kepler-1211,,1486,-0.08,14.325,14.753,14.318,4.48,0.96,,0.94,5705
Kepler-321,,,,11.3,11.621,11.249,4.302,,,1.194,5740
Kepler-1442,,525,0.26,11.031,11.215,10.967,4.25,1.34,,1.44,6394
Kepler-339,,,,12.895,13.28,12.87,4.586,,,0.802,5631
Kepler-407,,,0.33,10.983,11.332,10.911,4.426,1,1.38,0.1,5476
Kepler-756,,852,-0.19,13.656,14.128,13.535,4.57,0.82,,0.79,5282
TrES-3,0.712,245.098,-0.19,10.655,11.015,10.608,4.581,0.915,1.64571,0.812,5650
Kepler-188,,,,13.197,13.536,13.144,4.346,,,1.141,6021
HIP 14810,0.777,53.4474,0.23,6.964,7.201,6.828,4.22,0.99,,1.31998,5485
Kepler-695,,620,-0.01,13.016,13.514,12.922,4.57,0.84,,0.8,5181
HD 90156,0.66,22.3514,-0.24,5.382,5.685,5.245,4.48,0.84,,0.920961,5599
Kepler-786,,512,0.09,12.843,13.341,12.706,4.61,0.81,,0.74,4838
Kepler-259,,,,13.673,14.009,13.555,4.532,,,0.898,5938
Kepler-444,0.81,35.7,-0.55,6.772,7.244,6.703,4.5625,0.758,2.493,0.752,5046
Kepler-550,,563,-0.02,12.677,13.097,12.562,4.55,0.87,,0.83,5322
Kepler-304,,,,12.75,13.243,12.63,4.635,,,0.687,4731
Kepler-218,,,,12.386,12.732,12.311,4.391,,,1.063,5502
Pr 211,0.870001,170,0.187,10.242,10.66,10.173,4.55,0.952,,0.868,5326
Kepler-981,,913,0.01,13.272,13.574,13.169,4.47,0.98,,0.96,5718
Kepler-6,,,0.34,11.706,12.001,11.634,4.236,1.209,,1.391,5647
Kepler-501,,1044,-0.03,13.272,13.66,13.34,4.42,1.03,,1.04,5904
Kepler-244,,,,13.85,14.306,13.73,4.585,,,0.803,5554
24 Sex,0.92,77.4593,-0.01,4.486,5.292,4.285,3.4,1.81,,3.92062,5069
Kepler-358,,,,13.789,14.106,13.652,4.504,,,0.954,5908
Kepler-373,,,,12.9,13.28,12.86,4.562,,,0.845,5787
HATS-13,0.799,476,0.05,12.05,12.43,11.98,4.524,0.962,1.93,0.887,5523
Kepler-466,,436,-0.01,11.402,11.698,11.367,4.42,1.04,,1.05,5927
Kepler-1074,,245,-0.06,12.211,12.876,12.073,4.7,0.6,,0.57,4002
Kepler-807,,1312,-0.04,13.765,14.079,13.688,4.41,1.04,,1.06,5965
Kepler-299,,,,13.51,13.875,13.44,4.394,,,1.032,5617
Kepler-939,,1029,-0.12,13.861,14.28,13.762,4.54,0.88,,0.85,5471
Kepler-1389,,521,-0.14,12.83,13.247,12.696,4.61,0.81,,0.74,5078
Kepler-140,,,,11.759,11.989,11.709,4.272,,,1.288,6077
Kepler-23,,,,12.047,12.353,11.998,4.091,,,1.548,5828
Kepler-1048,,415,0.01,12.539,13.131,12.447,4.62,0.75,,0.7,4651
Kepler-89,,,0.0228,10.957,11.218,10.926,4.181,1.277,,1.52,6182
WASP-95,0.69,,0.14,8.628,8.936,8.564,4.36,1.11,0.78,1.13,5830
Kepler-831,,577,0.02,12.227,12.539,12.159,4.46,0.99,,0.97,5732
HD 68988,0.652,54.5256,0.324379,6.812,7.059,6.743,4.41308,1.124,,1.10962,5960.48
Kepler-84,,,-0.131,13.234,13.583,13.193,4.13,1,,1.43,5755
Kepler-637,,1575,0.38,12.227,12.459,12.182,3.84,1.64,,2.56,6096
HAT-P-26,0.89,134,-0.04,9.685,10.08,9.581,4.56,0.816,0.4,0.788,5079
Kepler-1252,,828,0.03,12.816,13.159,12.69,4.38,1.06,,1.09,5949
Kepler-847,,529,0.15,12.741,13.24,12.708,4.58,0.83,,0.77,4940
Kepler-1355,,963,-0.04,13.718,14.18,13.748,4.55,0.88,,0.83,5352
Kepler-296,,,,12.81,13.391,12.6,4.729,,,0.557,4249
HD 149143,0.714,62.0347,0.26,6.535,6.759,6.434,4.071,1.2,,1.71219,5884
Kepler-688,,1247,0.02,13.969,14.364,13.924,4.47,0.98,,0.96,5715
Kepler-713,,1003,-0.03,13.454,13.802,13.3,4.44,0.98,,0.99,5785
HD 79498,0.706,46.1042,0.24,6.574,6.851,6.53,4.37,1.06,,1.12815,5740
Kepler-722,,1375,0.02,13.949,14.261,13.841,4.41,1.03,,1.05,5863
Kepler-556,,729,0.03,12.687,13.039,12.668,4.46,1,,0.98,5740
Kepler-883,,549,-0.13,11.773,12.05,11.752,4.4,1.06,,1.09,6116
