STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-172,,,,12.88,13.17,12.79,4.375,,,1.085,5526
Kepler-1350,,350,-0.06,13.338,13.989,13.122,4.74,0.55,,0.53,3827
WASP-70 A,0.96,245,-0.01,9.714,9.996,9.58,4.26,1.106,1.5572,1.215,5700
Kepler-933,,922,-0.02,13.724,14.1,13.582,4.54,0.87,,0.84,5346
Kepler-1406,,587,0.04,11.908,12.227,11.88,4.36,1.05,,1.12,5892
Kepler-1530,,552,0.03,12.451,12.798,12.3,4.52,0.92,,0.88,5477
Kepler-400,,,,12.289,12.566,12.296,4.35,,,1.145,5886
Kepler-220,,,,10.672,11.206,10.55,4.652,,,0.666,4632
Kepler-1111,,1142,0.02,13.293,13.6,13.244,4.36,1.1,,1.15,6077
WASP-57,0.56,455,-0.25,11.292,11.625,11.244,4.574,0.954,2.3063,0.836,5600
HAT-P-37,-0.129999,411,0.03,11.714,12.092,11.667,4.52,0.929,,0.877,5500
Kepler-198,,,,12.067,12.421,12.027,4.467,,,0.94,5574
Kepler-1166,,648,-0.02,12.822,13.223,12.737,4.53,0.9,,0.86,5446
Kepler-458,,0,-0.28,12.546,12.823,12.502,4.42,0.98,,1.03,6065
Kepler-1605,,224,-0.01,10.655,11.064,10.587,4.55,0.86,,0.82,5280
Kepler-1222,,455,-0.04,12.264,12.704,12.187,4.56,0.84,,0.8,5239
Kepler-1635,,1084,0.06,13.997,14.345,13.895,4.53,0.89,,0.85,5347
Kepler-615,,330,-0.07,12.071,12.646,11.966,4.62,0.73,,0.69,4655
Kepler-249,,,,12.15,12.836,11.966,4.777,,,0.482,3568
WASP-106,0.83,283,-0.09,10.23,10.47,10.16,4.226,1.092,0.627,1.393,6055
HD 81040,0.68,33.1126,-0.16,6.267,6.504,6.158,4.5,0.96,,0.918818,5700
HD 208527,1.698,403.226,-0.09,2.537,3.328,2.224,1.6,1.6,,41.0489,4035
Kepler-165,,,,12.926,13.43,12.843,4.542,,,0.77,5211
Kepler-28,,,,12.767,13.334,12.719,4.29,0.75,,0.7,4590
Kepler-118,,,,12.769,13.25,12.711,4.321,,,1.094,5274
Kepler-1216,,1124,0.03,13.643,13.97,13.613,4.46,0.99,,0.98,5743
HAT-P-32,0.35,283,-0.04,10.024,10.251,9.99,4.33,1.16,,1.219,6207
GJ 163,1.491,14.9948,,7.428,7.948,7.135,,0.4,,,
HD 95089,0.94,139.082,0,5.775,6.24,5.626,3.32,1.38,,4.34001,4950
XO-3,0.4,282.997,-0.177,8.845,9.013,8.791,3.95,1.41,0.65,2.07898,6429
Kepler-1380,,1209,0.1,14.003,14.31,13.883,4.48,0.96,,0.94,5570
Kepler-478,,420,-0.03,12.113,12.57,12.005,4.56,0.85,,0.8,5210
HD 114729,0.591,36.1141,-0.261741,5.29,5.559,5.136,4.14301,0.998,,1.46377,5820.94
Kepler-122,,,,12.887,13.173,12.826,4.299,,,1.216,6050
Kepler-634,,757,-0.18,12.22,12.511,12.16,4.26,1.03,,1.24,6075
Kepler-881,,1364,0,13.84,14.12,13.714,4.39,1.06,,1.09,5961
Kepler-103,0.8,,0.07,10.941,11.193,10.873,4.162,1.09,0.52,1.44,5845
Kepler-997,,470,0.05,10.663,10.929,10.608,4.14,1.22,,1.56,6150
Kepler-1503,,850,-0.19,13.82,14.353,13.767,4.59,0.77,,0.74,5069
HD 100655,1.01,122.249,-0.02,4.47,5.039,4.129,2.81,1.71,,9.3,4801
Kepler-106,0.700001,,-0.12,11.494,11.752,11.431,4.407,1,1.38,1.04,5858
Kepler-113,,,0.05,11.36,11.886,11.255,4.636,0.75,2.71,0.69,4725
Kepler-1178,,336,-0.05,11.826,12.323,11.735,4.59,0.8,,0.75,4990
Kepler-595,,639,0.08,12.94,13.335,12.862,4.54,0.87,,0.83,5247
HD 142415,0.621,34.2349,0.0880335,5.99,6.235,5.892,4.38218,1.065,,1.11902,5901.98
Kepler-1359,,669,0.11,13.507,14.042,13.43,4.62,0.78,,0.72,4709
Kepler-785,,666,-0.02,13.55,14.079,13.381,4.62,0.77,,0.71,4739
CoRoT-9,0.86,459.982,-0.01,11.813,12.175,11.688,4.54,0.99,1.2,0.94,5625
HD 114386,0.982,28.8934,0.00374012,6.497,6.968,6.351,4.70688,0.78,,0.637212,4819.64
HD 103197,0.86,53.135,0.21,7.6,7.916,7.426,4.4,0.9,,1.01561,5303
Kepler-698,,1135,-0.03,13.87,14.255,13.799,4.5,0.94,,0.91,5612
Kepler-1022,,455,0.06,12.907,13.54,12.821,4.64,0.71,,0.68,4445
7 CMa,1.061,19.7511,0.21,1.679,2.173,1.564,3.11,1.34,,2.3,4761
K2-3,1.35,45,-0.32,8.805,9.421,8.561,,0.601,,0.561,3896
Kepler-368,,,,11.229,11.6,11.175,3.903,,,2.019,5502
Kepler-913,,597,-0.52,13.523,14.361,13.477,4.67,0.63,,0.61,4687
Kepler-1224,,578,0.14,11.635,11.891,11.588,4.34,1.18,,1.22,6155
Kepler-335,,,,12.574,12.848,12.496,4.017,,,1.854,5877
WASP-16,1.22,,0.01,9.659,9.984,9.589,4.495,1,1.21,0.946,5700
